classification,Total_Trades,Avg_PnL,Avg_Trade_Size,Win_Rate
Extreme Fear,21400,34.54,5349.73,37.06
Extreme Greed,39992,67.89,3112.25,46.49
Fear,61837,54.29,7816.11,42.08
Greed,50303,42.74,5736.88,38.48
Neutral,37686,34.31,4782.73,39.7
